,feature,predict,label,MSE,MAE,MSE_ave,MAE_ave,R2
0,CNINGKN,0.22237977385520935,0.245387464761734,0.0013995458931685063,0.0374105051177942,0.00227058131392297,0.03735960399730456,0.9491751993922308
1,NFHKG,0.5415394902229309,0.5670356750488281,0.0017186659510568662,0.04145679619865561,0.00227058131392297,0.03735960399730456,0.9491751993922308
2,DLDMYL,0.373784601688385,0.353628545999527,0.0010741184459194335,0.03277374629058194,0.00227058131392297,0.03735960399730456,0.9491751993922308
3,VSHVNDL,0.4887910485267639,0.5036901235580444,0.0005868940277505802,0.02422589580904244,0.00227058131392297,0.03735960399730456,0.9491751993922308
4,ESNSTHGP,0.3598289489746094,0.3530135750770569,0.00012280624402433588,0.011081797869675114,0.00227058131392297,0.03735960399730456,0.9491751993922308
5,QMDDTWRV,0.4391256272792816,0.4317343831062317,0.00014443624021731044,0.012018162930219844,0.00227058131392297,0.03735960399730456,0.9491751993922308
6,DCGVDLQMPI,0.30795449018478394,0.2995080351829529,0.0001886209904773507,0.013733935724232538,0.00227058131392297,0.03735960399730456,0.9491751993922308
7,NGNQFHW,0.5183053612709045,0.5098401308059692,0.00018946048646788796,0.013764464626998318,0.00227058131392297,0.03735960399730456,0.9491751993922308
8,AHDWDW,0.47479259967803955,0.460639625787735,0.0005295859889068613,0.0230127353634213,0.00227058131392297,0.03735960399730456,0.9491751993922308
9,GTRQCDFW,0.49906307458877563,0.47908979654312134,0.0010547262898403461,0.032476549845085856,0.00227058131392297,0.03735960399730456,0.9491751993922308
10,SIFEGFE,0.48777931928634644,0.45817965269088745,0.0023164061761398198,0.048129057503132344,0.00227058131392297,0.03735960399730456,0.9491751993922308
11,SINYMVMRV,0.4510645270347595,0.41143912076950073,0.004151342173369713,0.0644309100771494,0.00227058131392297,0.03735960399730456,0.9491751993922308
12,FWQVDLYFFP,0.6900936961174011,0.6912670135498047,3.639754754559736e-06,0.0019078141299821993,0.00227058131392297,0.03735960399730456,0.9491751993922308
13,PYWANFCGQR,0.5071824193000793,0.49015992879867554,0.000766103200494667,0.02767856933612478,0.00227058131392297,0.03735960399730456,0.9491751993922308
14,WNNWAPRCE,0.44294026494026184,0.4403444230556488,1.781548077460996e-05,0.004220838870960364,0.00227058131392297,0.03735960399730456,0.9491751993922308
15,FCKSQPWK,0.48136067390441895,0.46494466066360474,0.0007124862099867965,0.026692437318214246,0.00227058131392297,0.03735960399730456,0.9491751993922308
16,FDYKV,0.6776661276817322,0.6445263624191284,0.0029036210179076284,0.05388525789033238,0.00227058131392297,0.03735960399730456,0.9491751993922308
17,LYKAFD,0.6105231046676636,0.5940960049629211,0.0007134488822029434,0.026710463908418802,0.00227058131392297,0.03735960399730456,0.9491751993922308
18,QFFERWDMPS,0.5196475386619568,0.5332103967666626,0.0004863439435558274,0.02205320710363523,0.00227058131392297,0.03735960399730456,0.9491751993922308
19,WPACSI,0.6162405610084534,0.6248462796211243,0.00019580120432879903,0.013992898353407668,0.00227058131392297,0.03735960399730456,0.9491751993922308
20,SQLNWQLAN,0.38417714834213257,0.37945884466171265,5.885899668863673e-05,0.007671961723616505,0.00227058131392297,0.03735960399730456,0.9491751993922308
21,HIQNFCGWYR,0.5696561336517334,0.5670356750488281,1.8154976126435777e-05,0.00426086565458661,0.00227058131392297,0.03735960399730456,0.9491751993922308
22,NECHQFGHF,0.4467971920967102,0.41881924867630005,0.0020695344052138976,0.04549213564138199,0.00227058131392297,0.03735960399730456,0.9491751993922308
23,VNIYPEWD,0.4902932643890381,0.44772449135780334,0.004790968780121717,0.06921682440073162,0.00227058131392297,0.03735960399730456,0.9491751993922308
24,IRNHPCN,0.45744067430496216,0.46186962723731995,5.1861276901038865e-05,0.0072014774109927515,0.00227058131392297,0.03735960399730456,0.9491751993922308
25,YIFDMVDSI,0.4604237675666809,0.44772449135780334,0.00042638214887787135,0.020649022952136775,0.00227058131392297,0.03735960399730456,0.9491751993922308
26,SFRQWT,0.5881708264350891,0.6100861430168152,0.001269803655754504,0.03563430447973559,0.00227058131392297,0.03735960399730456,0.9491751993922308
27,CWRDFQI,0.5602008104324341,0.5639606714248657,3.7375297055636654e-05,0.006113533925287129,0.00227058131392297,0.03735960399730456,0.9491751993922308
28,MRWAID,0.5634793639183044,0.5196802616119385,0.005071909486230899,0.071217339786255,0.00227058131392297,0.03735960399730456,0.9491751993922308
29,MPFPNSTKMA,0.4898523688316345,0.5012300610542297,0.00034225471409212485,0.018500127407456546,0.00227058131392297,0.03735960399730456,0.9491751993922308
30,FHHPRHVGV,0.49934470653533936,0.48400986194610596,0.0006217271511043023,0.024934457104663466,0.00227058131392297,0.03735960399730456,0.9491751993922308
31,WAGKYAQIKR,0.3805123567581177,0.4034441113471985,0.0013903228050807038,0.037287032666608155,0.00227058131392297,0.03735960399730456,0.9491751993922308
32,DSTIDDTPE,0.1111290454864502,0.1660516858100891,0.007975242362945372,0.08930421245912967,0.00227058131392297,0.03735960399730456,0.9491751993922308
33,VACLL,0.5542934536933899,0.4846248924732208,0.012832603005998979,0.11328107964703982,0.00227058131392297,0.03735960399730456,0.9491751993922308
34,DPKKE,0.23676255345344543,0.2564575672149658,0.0010255424762810408,0.03202409212266666,0.00227058131392297,0.03735960399730456,0.9491751993922308
35,KYRGKCK,0.2360803782939911,0.24231243133544922,0.00010268413703667999,0.010133318165175709,0.00227058131392297,0.03735960399730456,0.9491751993922308
36,LQVWVQ,0.5559324026107788,0.5184502005577087,0.0037144222363158495,0.06094606005572345,0.00227058131392297,0.03735960399730456,0.9491751993922308
37,TVYKIITDN,0.4384099841117859,0.460639625787735,0.001306489729991021,0.036145397078895414,0.00227058131392297,0.03735960399730456,0.9491751993922308
38,ILLWGYCN,0.5812152028083801,0.5959410071372986,0.0005733226855313004,0.023944157649232523,0.00227058131392297,0.03735960399730456,0.9491751993922308
39,ACVAECIEHP,0.39523252844810486,0.38745391368865967,0.00015997259960815724,0.0126480274987113,0.00227058131392297,0.03735960399730456,0.9491751993922308
40,HWAHMGSVL,0.4744183421134949,0.3923739790916443,0.017796662759443232,0.13340413321724043,0.00227058131392297,0.03735960399730456,0.9491751993922308
41,PGSVPGNT,0.3744755983352661,0.39852404594421387,0.0015290270520016377,0.039102775502534826,0.00227058131392297,0.03735960399730456,0.9491751993922308
42,VLIRRNFKR,0.2572503089904785,0.3044281005859375,0.005884591102969762,0.07671108852682096,0.00227058131392297,0.03735960399730456,0.9491751993922308
43,HVAYVY,0.6431370377540588,0.6783517599105835,0.0032786088585226854,0.05725913777313352,0.00227058131392297,0.03735960399730456,0.9491751993922308
44,TRNDFVQFAQ,0.44481179118156433,0.4575645923614502,0.0004299839584792027,0.02073605455430716,0.00227058131392297,0.03735960399730456,0.9491751993922308
45,PMRHC,0.6044136881828308,0.6611316800117493,0.008505165464665143,0.09222345398359977,0.00227058131392297,0.03735960399730456,0.9491751993922308
46,GRDLFMFPTY,0.5676734447479248,0.5424354672431946,0.0016840313554001424,0.0410369510977624,0.00227058131392297,0.03735960399730456,0.9491751993922308
47,EVIAY,0.46365970373153687,0.5116851925849915,0.006097961304430839,0.07808944425740805,0.00227058131392297,0.03735960399730456,0.9491751993922308
48,HCSEGE,0.3434787392616272,0.3468635380268097,3.029052379733407e-05,0.005503682748608796,0.00227058131392297,0.03735960399730456,0.9491751993922308
49,AWGNFAFND,0.4018404185771942,0.3671587407588959,0.0031801036446285724,0.05639240768604026,0.00227058131392297,0.03735960399730456,0.9491751993922308
50,CQLNINKS,0.34124624729156494,0.3364083766937256,6.187989544136008e-05,0.007866377529801127,0.00227058131392297,0.03735960399730456,0.9491751993922308
51,NVFKDV,0.5446229577064514,0.5873308777809143,0.004822341011452854,0.06944307749122913,0.00227058131392297,0.03735960399730456,0.9491751993922308
52,VEHRTRR,0.34206336736679077,0.33210334181785583,0.0002622780708103719,0.01619500141433683,0.00227058131392297,0.03735960399730456,0.9491751993922308
53,YDGNWGA,0.38966408371925354,0.397909015417099,0.00017972777593885586,0.013406258834546492,0.00227058131392297,0.03735960399730456,0.9491751993922308
54,RSYEVVRKNV,0.40399181842803955,0.4089791178703308,6.576153842969145e-05,0.008109348828956087,0.00227058131392297,0.03735960399730456,0.9491751993922308
55,MSFRVYT,0.5875852704048157,0.6260762214660645,0.003917043186516071,0.06258628593003479,0.00227058131392297,0.03735960399730456,0.9491751993922308
56,QMLWMLELIC,0.5263203978538513,0.5448954701423645,0.0009122252744476767,0.03020306730197575,0.00227058131392297,0.03735960399730456,0.9491751993922308
57,ENIHNGNHV,0.37527918815612793,0.40221402049064636,0.001918092859458826,0.04379603702915169,0.00227058131392297,0.03735960399730456,0.9491751993922308
58,QHMQK,0.37018072605133057,0.3050430715084076,0.011217738421065698,0.1059138254481713,0.00227058131392297,0.03735960399730456,0.9491751993922308
59,CVKWVLNVD,0.46984565258026123,0.46432968974113464,8.044216285791667e-05,0.008968955505403997,0.00227058131392297,0.03735960399730456,0.9491751993922308
60,PWNFQDVRYS,0.5614345669746399,0.5504305362701416,0.00032014348090766764,0.01789255378384169,0.00227058131392297,0.03735960399730456,0.9491751993922308
61,PKWTWSR,0.5192664861679077,0.5319803953170776,0.0004273653260362794,0.020672816112863757,0.00227058131392297,0.03735960399730456,0.9491751993922308
62,WPRISAVWW,0.6184996962547302,0.6525214910507202,0.0030602402096010116,0.055319437900262614,0.00227058131392297,0.03735960399730456,0.9491751993922308
63,WLVHEAAW,0.5370723605155945,0.4538745582103729,0.01830057706923839,0.13527962547715155,0.00227058131392297,0.03735960399730456,0.9491751993922308
64,FTYILKQNP,0.4750930666923523,0.48400986194610596,0.00021021256173305846,0.014498708967803253,0.00227058131392297,0.03735960399730456,0.9491751993922308
65,RIGCKTC,0.35713037848472595,0.3548586070537567,1.3644899555684414e-05,0.0036939003175078255,0.00227058131392297,0.03735960399730456,0.9491751993922308
66,TDPFD,0.45203346014022827,0.429274320602417,0.001369470724521677,0.03700636059546625,0.00227058131392297,0.03735960399730456,0.9491751993922308
67,WIMDNKDQ,0.40692561864852905,0.4182042181491852,0.00033631901793480297,0.01833900264285937,0.00227058131392297,0.03735960399730456,0.9491751993922308
68,SVPIPHEV,0.5029463171958923,0.5116851925849915,0.00020190736864470965,0.014209411270165617,0.00227058131392297,0.03735960399730456,0.9491751993922308
69,MFQSNC,0.50513756275177,0.520295262336731,0.0006074459857900555,0.024646419329997116,0.00227058131392297,0.03735960399730456,0.9491751993922308
70,ICYFQL,0.684173047542572,0.724477231502533,0.004294784137939416,0.0655346025999961,0.00227058131392297,0.03735960399730456,0.9491751993922308
71,GFDQNTHKP,0.3952499032020569,0.3954490125179291,1.0481519241950873e-07,0.00032375174504473136,0.00227058131392297,0.03735960399730456,0.9491751993922308
72,FSYMKQ,0.5436728596687317,0.5221402645111084,0.0012258401054218075,0.03501199944907185,0.00227058131392297,0.03735960399730456,0.9491751993922308
73,NCGWPRE,0.4385276436805725,0.47908979654312134,0.0043499380347419596,0.06595406003228277,0.00227058131392297,0.03735960399730456,0.9491751993922308
74,EIQGSN,0.17486883699893951,0.16051660478115082,0.0005446029391516059,0.023336729401345124,0.00227058131392297,0.03735960399730456,0.9491751993922308
75,DIWTATYMEM,0.46866804361343384,0.482779860496521,0.0005265103833449077,0.022945814070215675,0.00227058131392297,0.03735960399730456,0.9491751993922308
76,VTQYNQISQC,0.44846683740615845,0.45079952478408813,1.4386467020742219e-05,0.0037929496464812473,0.00227058131392297,0.03735960399730456,0.9491751993922308
77,ITHTEHME,0.4104110598564148,0.42373931407928467,0.0004696643664139765,0.021671741194790428,0.00227058131392297,0.03735960399730456,0.9491751993922308
78,RCMCIVT,0.47910815477371216,0.482779860496521,3.564320992613007e-05,0.005970193458015416,0.00227058131392297,0.03735960399730456,0.9491751993922308
79,PILVHCQL,0.516669750213623,0.5387454032897949,0.0012884518590305244,0.03589501161764019,0.00227058131392297,0.03735960399730456,0.9491751993922308
80,TTKWV,0.6456650495529175,0.5953259468078613,0.006699648475900851,0.08185138041536533,0.00227058131392297,0.03735960399730456,0.9491751993922308
81,WNQAYY,0.601994514465332,0.6094711422920227,0.0001477925699780619,0.012156996749940419,0.00227058131392297,0.03735960399730456,0.9491751993922308
82,SSKIETNQWE,0.4461076259613037,0.44157442450523376,5.4331427376933124e-05,0.007370985509206562,0.00227058131392297,0.03735960399730456,0.9491751993922308
83,RLAACEQWP,0.4445139169692993,0.42558425664901733,0.0009473854651646253,0.030779627437066637,0.00227058131392297,0.03735960399730456,0.9491751993922308
84,AEIMVFC,0.4903845191001892,0.4797048270702362,0.0003015494452864496,0.017365179103206785,0.00227058131392297,0.03735960399730456,0.9491751993922308
85,NCHYNI,0.5769534707069397,0.5485855340957642,0.0021276322826784453,0.046126264564545494,0.00227058131392297,0.03735960399730456,0.9491751993922308
86,FNQYYFITTN,0.5321431756019592,0.4637146592140198,0.012379848323447773,0.11126476676579955,0.00227058131392297,0.03735960399730456,0.9491751993922308
